Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,34776,-,-,-,59.25,-154.62,-9,699,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,6,30,-25.2,7,-25.7,0,0,0,95.58,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,7,30,-24.9,7,-25.4,0,0,0,95.71,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,8,30,-24.4,7,-25,0,0,0,94.36,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,9,30,-23.9,7,-24.6,0,0,0,93.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,10,30,-23.3,7,-24,7,0,7,94.17,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,11,30,-22.4,7,-23.1,31,156,45,93.88,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,12,30,-21.2,7,-22.1,44,265,80,92.23,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,13,30,-20.1,7,-21.1,22,0,22,91.43,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,14,30,-19.7,1,-20.6,29,673,115,92.86,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,15,30,-19.5,7,-20.4,28,115,37,92.88,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,16,30,-20,1,-20.4,0,0,0,96.74,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,17,30,-20.3,1,-20.3,0,0,0,100,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,18,30,-20.4,8,-20.4,0,0,0,100,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,19,30,-20.3,8,-20.3,0,0,0,100,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,20,30,-19.9,4,-19.9,0,0,0,100,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,21,30,-19.4,4,-19.4,0,0,0,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,22,30,-18.7,4,-18.7,0,0,0,100,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,23,30,-17.7,4,-17.7,0,0,0,100,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,7,0,30,-16.6,7,-16.6,0,0,0,100,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,7,1,30,-15.2,7,-15.2,0,0,0,100,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
